Domain,Cloudflare (UDP),Cloudflare (DoH),Cloudflare (DoT),Quad9 Malware (UDP),Quad9 Malware (DoH),Quad9 Malware (DoT),ControlD Malware (UDP),ControlD Malware (DoH),ControlD Malware (DoT),ControlD Ads & Tracking (UDP),ControlD Ads & Tracking (DoH),ControlD Ads & Tracking (DoT),ControlD Family (UDP),ControlD Family (DoH),ControlD Family (DoT),Dns0 Zero (UDP),Dns0 Zero (DoH),Dns0 Zero (DoT),Dns0 Kids (UDP),Dns0 Kids (DoH),Dns0 Kids (DoT)
pstatp.com,17.579,15.04,81.886,27.9,20.22,114.442,13.436,13.031,101.309,13.27,11.51,83.419,14.472,12.553,91.149,12.447,13.948,82.351,12.5,15.04,73.822
pstatp.com,9.917,8.137,76.497,308.444,11.262,81.345,13.923,12.244,101.216,12.643,12.36,75.906,13.668,11.977,86.945,12.629,14.639,97.323,13.483,16.524,99.337
pstatp.com,9.559,6.529,55.915,13.286,11.316,88.932,18.262,13.271,81.089,15.007,13.157,116.154,14.002,12.308,97.04,11.629,14.127,76.558,12.424,15.146,106.333
pstatp.com,18.653,18.32,76.922,,12.275,101.55,14.301,12.45,107.475,13.053,12.771,79.101,13.283,11.495,96.939,12.43,17.761,77.59,13.637,16.088,108.964
pstatp.com,9.63,6.798,44.478,14.853,11.171,87.53,13.511,12.251,67.57,13.516,12.076,70.59,12.605,12.265,74.944,14.063,17.41,87.759,20.252,22.21,105.539
pstatp.com,10.137,8.47,76.125,212.047,11.996,100.652,14.693,14.532,67.57,15.706,13.897,83.085,13.877,13.745,89.504,12.516,13.864,88.697,18.414,20.967,110.496
pstatp.com,10.596,10.24,75.527,453.469,11.735,102.835,14.126,12.324,77.392,12.914,12.53,107.348,15.095,11.879,70.827,13.039,15.111,86.157,14.31,18.506,102.554
pstatp.com,9.706,8.253,62.258,15.793,13.898,91.536,15.213,13.549,108.825,14.1,20.709,100.759,14.575,16.582,74.113,12.077,14.852,73.902,13.082,14.246,252.132
pstatp.com,7.834,7.568,58.691,13.815,11.793,113.945,14.818,12.85,97.721,16.397,11.978,76.667,14.765,14.539,79.545,18.502,18.251,97.083,12.158,16.021,105.349
appsflyer.com,9.817,13.221,77.899,21.976,13.662,108.886,14.012,12.017,73.069,13.614,11.911,68.073,17.108,27.246,101.594,11.65,14.967,76.289,12.045,15.539,114.932
appsflyer.com,9.2,8.831,73.613,26.51,11.573,72.645,13.327,13.036,96.604,15.486,11.824,66.729,14.24,11.831,90.591,12.194,15.479,102.584,12.475,14.737,99.004
appsflyer.com,7.64,8.052,55.001,13.653,11.808,106.203,14.967,12.722,105.244,15.683,12.321,101.061,12.599,11.379,71.241,13.712,15.388,108.115,13.793,15.125,114.509
appsflyer.com,8.805,8.383,81.707,33.424,13.258,103.696,14.198,12.248,86.017,13.878,13.51,96.765,12.986,12.719,78.685,12.509,13.688,78.96,10.765,14.308,117.822
appsflyer.com,11.629,8.285,52.416,100.4,11.032,108.957,14.05,12.461,88.872,24.699,12.2,73.371,16.53,13.38,97.328,11.979,15.752,100.342,13.102,13.014,96.939
appsflyer.com,8.945,7.694,54.074,13.881,11.711,97.157,17.675,12.518,111.836,15.048,12.448,105.684,18.347,18.016,100.193,12.65,15.421,117.131,13.457,14.635,124.068
appsflyer.com,8.135,7.798,67.978,22.505,12.832,1211.647,14.412,12.824,68.346,13.334,12.942,82.39,15.072,13.092,78.508,12.853,14.067,78.551,28.554,14.546,118.371
appsflyer.com,7.766,7.582,73.18,15.491,11.186,154.77,20.128,13.149,114.797,13.682,11.781,100.003,18.29,17.407,68.732,14.523,14.305,103.077,13.662,15.506,111.712
appsflyer.com,17.231,7.889,63.014,13.537,11.636,101.563,14.954,14.455,76.15,13.898,11.931,100.52,15.707,15.848,97.155,14.6,16.105,122.865,13.478,14.805,143.582
appsflyer.com,8.975,8.566,61.78,15.471,15.074,112.586,17.903,13.92,86.51,15.957,12.854,87.386,14.172,12.375,111.569,13.017,14.631,106.123,12.54,13.134,117.517
singular.net,9.196,8.99,81.991,16.912,42.555,188.042,20.74,20.29,100.665,18.176,12.881,98.907,18.242,15.598,127.584,13.871,13.705,88.775,15.32,16.795,139.324
singular.net,10.384,10.003,83.736,43.788,34.706,104.534,13.692,12.228,84.672,17.693,12.008,94.468,14.23,12.4,100.369,12.636,15.347,101.372,13.058,14.342,105.609
singular.net,8.5,8.086,67.626,14.696,11.247,86.108,16.338,14.269,87.386,13.15,12.672,75.928,18.25,12.518,98.474,12.441,15.932,86.694,13.324,15.103,122.658
singular.net,8.686,8.329,71.701,16.904,11.259,73.728,15.092,13.455,100.958,14.748,14.177,100.215,15.027,12.012,103.413,12.601,15.957,84.559,12.669,14.624,117.075
singular.net,8.857,8.314,63.917,16.987,10.329,79.736,14.745,13.012,105.972,18.124,14.209,75.09,15.352,12.493,90.534,13.22,14.19,105.747,12.917,14.407,126.097
singular.net,8.758,8.312,76.555,14.533,12.727,321.832,14.449,15.78,96.79,16.197,12.762,109.757,12.618,12.29,92.467,12.918,15.448,85.964,12.828,15.149,122.417
singular.net,11.148,6.437,61.286,13.551,11.542,90.993,14.743,14.335,75.618,15.572,15.324,103.673,14.683,12.894,96.789,13.009,14.75,107.134,14.097,13.934,120.785
singular.net,15.631,15.107,79.341,13.508,11.501,106.684,13.357,12.843,90.864,15.26,11.939,103.869,15.444,15.237,94.972,14.145,15.518,82.2,13.086,14.836,116.308
singular.net,8.405,6.891,73.916,16.83,11.416,76.52,14.467,11.2,67.857,15.96,15.458,101.834,13.3,12.939,85.042,12.557,14.022,96.267,12.11,13.03,99.214
singular.net,8.236,8.154,77.573,15.071,12.466,109.064,13.806,13.162,97.646,14.086,13.468,114.391,14.354,12.44,99.263,12.606,15.244,105.209,16.832,16.518,99.076
weather.com,9.947,16.882,53.692,12.904,12.412,99.568,14.847,12.657,93.519,14.735,11.292,77.565,15.28,13.484,76.683,12.038,13.362,76.45,21.365,32.189,114.628
weather.com,8.876,8.582,106.995,13.004,12.793,75.81,13.755,13.503,84.599,15.42,14.972,105.181,16.051,13.469,112.747,19.662,19.522,82.931,12.748,14.85,127.124
weather.com,9.882,6.414,52.435,37.924,12.091,105.039,22.167,17.183,84.341,14.744,12.99,94.653,14.185,12.158,80.965,12.081,14.114,85.66,13.187,15.788,119.53
weather.com,8.784,6.961,82.412,13.22,11.841,96.646,15.106,14.613,98.136,12.932,12.496,90.282,14.341,11.28,75.765,21.674,15.18,102.15,13.06,16.661,126.433
weather.com,10.097,7.508,75.147,18.092,17.815,95,17.674,12.886,92.717,14.205,12.306,73.554,14.728,12.492,113.291,13.337,15.431,105.944,12.525,14.266,109.677
weather.com,11.192,9.255,84.121,21.133,18.596,114.004,13.595,13.169,99.086,13.913,13.61,98.305,14.182,15.111,86.022,21.364,15.234,83.268,12.412,14.454,112.241
weather.com,12.865,8.125,55.354,13.271,11.367,78.789,12.67,11.322,73.54,15.002,14.848,83.234,15.552,14.963,119.1,15.753,15.439,109.098,13.738,15.378,118.974
weather.com,10.148,8.306,48.938,19.026,30.217,81.451,13.651,12.838,105,13.354,13.115,85.683,15.056,12.765,110.943,13.732,13.706,92.062,13.345,15.113,105.427
weather.com,8.19,6.704,49.259,13.362,11.597,92.153,14.528,14.14,84.2,13.934,13.646,96.37,14.846,14.547,81.911,12.9,16.422,80.773,24.725,14.062,105.09
weather.com,11.547,7.86,72.979,13.979,12.149,98.957,13.926,13.473,94.127,14.34,13.839,98.84,15.017,12.839,96.083,12.421,15.032,108.31,12.698,14.187,100.889
ubuntu.com,8.846,5.323,52.149,20.325,13.013,103.527,18.135,17.598,106.412,29.782,29.247,99.666,14.99,12.836,95.813,12.014,14.596,83.625,18.846,24.376,122.02
ubuntu.com,10.421,10.113,68.974,11.815,11.527,80.612,17.04,23.944,77.073,14.239,13.693,102.508,15.277,11.015,85.54,12.884,14.79,114.448,13.291,14.55,118.685
ubuntu.com,8.741,7.183,61.304,13.74,11.748,101.997,14.03,13.534,77.258,14.636,14.39,79.86,14.306,12.297,90.552,13.552,14.814,81.203,12.314,15.389,120.114
ubuntu.com,7.786,7.432,52.998,27.006,11.976,116.569,14.49,12.27,108.736,18.971,11.624,85.182,23.217,17.126,110.684,12.897,14.909,114.159,18.987,18.892,119.599
ubuntu.com,11.105,10.887,71.932,12.951,12.681,73.138,14.102,13.548,97.433,15.803,13.092,69.504,16.224,16.008,90.541,12.856,12.792,74.787,13.436,14.85,103.57
ubuntu.com,9.314,8.94,51.358,13.423,11.586,93.703,15.036,16.251,107.928,16.022,15.842,82.614,14.768,12.807,97.589,13.444,14.75,79.198,13.723,15.288,113.325
ubuntu.com,8.874,8.494,78.499,15.203,11.56,82.752,16.866,13.62,78.235,15.449,13.507,104.578,14.449,14.05,101.039,14.31,18.308,83.602,12.292,14.83,104.886
ubuntu.com,9.311,7.698,67.614,14.395,10.512,81.04,14.646,12.816,76.096,14.891,13.21,78.619,13.526,11.59,72.201,12.36,14.647,77.431,14.032,16.435,114.308
